loop_i,video_fid,t_sec,camera_id,kind,track_id
0,2520,84.0,camera_3,new_track,0
46,2566,85.533,camera_3,new_track,1
101,2621,87.367,camera_3,new_track,2
107,2627,87.567,camera_3,lost_track,2
137,2657,88.567,camera_3,removed,2
164,2684,89.467,camera_3,new_track,3
165,2685,89.5,camera_3,lost_track,3
167,2687,89.567,camera_3,reacquired,3
173,2693,89.767,camera_3,new_track,4
183,2703,90.1,camera_3,lost_track,3
185,2705,90.167,camera_3,reacquired,3
204,2724,90.8,camera_3,lost_track,3
204,2724,90.8,camera_3,lost_track,4
205,2725,90.833,camera_3,reacquired,4
205,2725,90.833,camera_3,lost_track,0
234,2754,91.8,camera_3,removed,3
235,2755,91.833,camera_3,removed,0
