loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_camera_2,m4_history_camera_2,m4_prev_removed_camera_2
0,97.17,197.8,2,2,0,2,0,2,0,0,0,2,2,0
50,98.83,198.2,2,1,1,1,1,1,0,0,0,2,1,0
100,100.5,198.3,2,1,1,1,1,1,0,0,0,2,1,0
150,102.17,198.3,2,1,1,1,1,1,0,0,0,2,1,0
200,103.83,198.3,2,1,1,1,1,1,0,0,0,2,1,0
250,105.5,198.3,2,1,1,1,1,1,0,0,0,2,1,0
300,107.17,198.3,2,1,1,1,1,1,0,0,0,2,1,0
350,108.83,198.3,2,1,1,1,1,1,0,0,0,2,1,0
400,110.5,198.3,2,1,1,1,1,1,0,0,0,2,1,0
