loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_camera_3,m4_history_camera_3,m4_prev_removed_camera_3
0,237.17,200.4,2,2,0,2,0,2,0,0,0,2,2,0
50,238.83,200.9,4,4,0,4,0,4,3,0,0,4,4,0
100,240.5,201.0,4,4,0,4,0,4,3,0,0,4,4,0
150,242.17,201.0,4,4,0,4,0,4,3,0,0,4,4,0
200,243.83,201.0,4,1,3,1,3,1,1,0,0,4,1,0
250,245.5,201.0,4,1,3,1,3,1,1,0,0,4,1,0
300,247.17,201.0,4,1,3,1,3,1,1,0,0,4,1,0
350,248.83,201.0,5,1,4,1,4,1,0,0,0,5,1,0
400,250.5,201.0,5,1,4,1,4,1,0,0,0,5,1,0
