loop_i,video_fid,t_sec,camera_id,kind,track_id
188,940,31.333,cam6,lost_track,4
189,945,31.5,cam6,reacquired,4
192,960,32.0,cam7,removed,-1
202,1010,33.667,cam4,removed,-1
203,1015,33.833,cam5,removed,-1
205,1025,34.167,cam5,new_track,2
206,1030,34.333,cam5,lost_track,2
209,1045,34.833,cam1,removed,-1
209,1045,34.833,cam4,removed,-1
211,1055,35.167,cam3,removed,-1
214,1070,35.667,cam6,removed,-1
215,1075,35.833,cam4,removed,-1
216,1080,36.0,cam6,removed,5
219,1095,36.5,cam6,removed,-1
221,1105,36.833,cam6,removed,-1
222,1110,37.0,cam6,new_track,6
222,1110,37.0,cam8,removed,-1
223,1115,37.167,cam2,lost_track,1
223,1115,37.167,cam6,removed,-1
225,1125,37.5,cam4,removed,-1
228,1140,38.0,cam6,lost_track,6
234,1170,39.0,cam2,new_track,2
234,1170,39.0,cam8,removed,-1
236,1180,39.333,cam5,removed,2
236,1180,39.333,cam6,removed,-1
240,1200,40.0,cam6,removed,-1
245,1225,40.833,cam5,removed,-1
249,1245,41.5,cam2,removed,-1
253,1265,42.167,cam2,removed,1
257,1285,42.833,cam8,removed,-1
258,1290,43.0,cam6,removed,6
263,1315,43.833,cam9,removed,-1
267,1335,44.5,cam8,removed,-1
269,1345,44.833,cam8,new_track,4
271,1355,45.167,cam8,lost_track,1
277,1385,46.167,cam2,removed,-1
286,1430,47.667,cam1,removed,-1
286,1430,47.667,cam7,removed,-1
286,1430,47.667,cam8,removed,-1
290,1450,48.333,cam1,removed,-1
292,1460,48.667,cam7,removed,-1
294,1470,49.0,cam7,new_track,2
295,1475,49.167,cam7,lost_track,2
296,1480,49.333,cam7,reacquired,2
298,1490,49.667,cam7,lost_track,2
301,1505,50.167,cam8,removed,1
312,1560,52.0,cam6,removed,-1
314,1570,52.333,cam6,new_track,7
317,1585,52.833,cam6,lost_track,4
319,1595,53.167,cam6,reacquired,4
319,1595,53.167,cam6,lost_track,7
327,1635,54.5,cam6,reacquired,7
328,1640,54.667,cam6,lost_track,7
328,1640,54.667,cam7,removed,2
330,1650,55.0,cam2,removed,-1
333,1665,55.5,cam6,removed,-1
334,1670,55.667,cam1,removed,-1
336,1680,56.0,cam4,removed,-1
337,1685,56.167,cam6,removed,-1
340,1700,56.667,cam6,new_track,8
341,1705,56.833,cam6,lost_track,8
342,1710,57.0,cam6,reacquired,8
343,1715,57.167,cam6,removed,-1
345,1725,57.5,cam6,removed,-1
346,1730,57.667,cam6,lost_track,4
347,1735,57.833,cam6,reacquired,4
348,1740,58.0,cam6,removed,-1
350,1750,58.333,cam6,new_track,9
351,1755,58.5,cam6,removed,-1
355,1775,59.167,cam6,new_track,10
358,1790,59.667,cam4,removed,-1
358,1790,59.667,cam6,removed,7
359,1795,59.833,cam6,lost_track,4
360,1800,60.0,cam6,reacquired,4
360,1800,60.0,cam6,lost_track,10
361,1805,60.167,cam6,reacquired,10
361,1805,60.167,cam6,lost_track,4
364,1820,60.667,cam6,reacquired,4
365,1825,60.833,cam6,lost_track,4
367,1835,61.167,cam2,removed,-1
379,1895,63.167,cam6,reacquired,4
381,1905,63.5,cam6,lost_track,4
382,1910,63.667,cam6,reacquired,4
383,1915,63.833,cam6,lost_track,4
385,1925,64.167,cam2,removed,-1
385,1925,64.167,cam6,reacquired,4
386,1930,64.333,cam6,lost_track,4
388,1940,64.667,cam6,reacquired,4
389,1945,64.833,cam6,lost_track,4
389,1945,64.833,cam9,removed,-1
390,1950,65.0,cam6,reacquired,4
395,1975,65.833,cam6,removed,-1
400,2000,66.667,cam5,removed,-1
409,2045,68.167,cam6,new_track,11
411,2055,68.5,cam6,lost_track,11
411,2055,68.5,cam6,removed,-1
413,2065,68.833,cam5,removed,-1
413,2065,68.833,cam6,reacquired,11
414,2070,69.0,cam6,lost_track,4
418,2090,69.667,cam6,reacquired,4
419,2095,69.833,cam6,lost_track,11
446,2230,74.333,cam2,removed,-1
449,2245,74.833,cam6,removed,11
452,2260,75.333,cam1,removed,-1
452,2260,75.333,cam7,removed,-1
456,2280,76.0,cam6,removed,-1
458,2290,76.333,cam6,removed,-1
460,2300,76.667,cam6,removed,-1
462,2310,77.0,cam6,removed,-1
464,2320,77.333,cam6,new_track,12
466,2330,77.667,cam6,lost_track,12
467,2335,77.833,cam6,reacquired,12
468,2340,78.0,cam6,lost_track,12
469,2345,78.167,cam6,reacquired,12
470,2350,78.333,cam6,lost_track,12
474,2370,79.0,cam6,reacquired,12
476,2380,79.333,cam6,lost_track,12
478,2390,79.667,cam3,new_track,3
479,2395,79.833,cam3,lost_track,2
479,2395,79.833,cam6,reacquired,12
