loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_cam1,m4_seen_cam2,m4_seen_cam3,m4_seen_cam4,m4_seen_cam5,m4_seen_cam6,m4_seen_cam7,m4_seen_cam8,m4_seen_cam9,m4_history_cam1,m4_history_cam2,m4_history_cam3,m4_history_cam4,m4_history_cam5,m4_history_cam6,m4_history_cam7,m4_history_cam8,m4_history_cam9,m4_prev_removed_cam1,m4_prev_removed_cam2,m4_prev_removed_cam3,m4_prev_removed_cam4,m4_prev_removed_cam5,m4_prev_removed_cam6,m4_prev_removed_cam7,m4_prev_removed_cam8,m4_prev_removed_cam9
1700,283.33,1156.7,1,1,0,16,0,1,0,0,0,3,5,4,3,3,27,4,7,2,1,1,2,1,1,6,1,2,1,0,0,0,0,0,0,0,0,0
1750,291.67,761.4,1,1,0,17,0,1,1,0,0,3,5,4,3,3,28,4,7,2,1,1,2,1,1,7,1,2,1,0,0,0,0,0,0,0,0,0
1800,300.0,768.4,1,1,0,17,0,1,1,0,0,3,5,4,3,3,28,4,7,2,1,1,2,1,1,7,1,2,1,0,0,0,0,0,0,0,0,0
1850,308.33,760.7,1,1,0,17,0,1,1,0,0,3,5,4,3,3,28,4,7,2,1,1,2,1,1,7,1,2,1,0,0,0,0,0,0,0,0,0
1900,316.67,770.1,1,1,0,18,0,1,0,0,0,3,6,4,3,3,28,4,7,2,1,2,2,1,1,7,1,2,1,0,0,0,0,0,0,0,0,0
1950,325.0,768.7,1,1,0,18,0,1,1,0,0,3,6,4,3,3,28,4,7,2,1,2,2,1,1,7,1,2,1,0,0,0,0,0,0,0,0,0
2000,333.33,794.5,1,1,0,18,0,1,1,0,0,3,6,5,4,3,28,4,7,2,1,2,3,1,1,6,1,2,1,0,0,0,0,0,0,0,0,0
2050,341.67,762.2,1,1,0,19,0,1,2,0,0,3,6,5,4,4,29,4,7,2,1,2,2,1,2,7,1,2,1,0,0,0,0,0,0,0,0,0
2100,350.0,793.3,1,1,0,18,0,1,1,0,0,3,6,5,5,4,29,4,7,2,1,2,2,2,1,6,1,2,1,0,0,0,0,0,0,0,0,0
2150,358.33,770.7,1,1,0,20,0,1,2,0,0,3,7,5,5,4,31,4,7,2,1,3,2,1,1,8,1,2,1,0,0,0,0,0,0,0,0,0
2200,366.67,774.3,1,1,0,19,0,1,1,0,0,3,7,5,5,4,32,4,7,2,1,2,2,1,1,8,1,2,1,0,1,0,0,0,0,0,0,0
2250,375.0,772.4,1,1,0,17,0,1,0,0,0,3,7,5,5,4,32,4,7,2,1,2,2,1,1,6,1,2,1,0,0,0,0,0,0,0,0,0
2300,383.33,763.9,1,1,0,17,0,1,0,0,0,3,7,5,5,4,32,4,7,2,1,2,2,1,1,6,1,2,1,0,0,0,0,0,0,0,0,0
2350,391.67,763.9,1,1,0,18,0,1,1,0,0,3,7,5,5,4,33,4,7,2,1,2,2,1,1,7,1,2,1,0,0,0,0,0,0,0,0,0
2400,400.0,774.3,1,1,0,20,0,1,1,0,0,4,8,5,5,4,34,4,7,2,2,3,2,1,1,7,1,2,1,0,0,0,0,0,0,0,0,0
2450,408.33,796.8,1,1,0,21,0,1,3,0,0,4,10,5,5,4,35,4,7,2,2,4,2,1,1,7,1,2,1,0,0,0,0,0,0,0,0,0
2500,416.67,774.6,1,1,0,18,0,1,0,0,0,4,10,5,5,4,35,4,7,2,2,2,2,1,1,6,1,2,1,0,0,0,0,0,0,0,0,0
2550,425.0,775.8,1,1,0,19,0,1,1,0,0,4,11,5,5,4,35,4,7,2,2,3,2,1,1,6,1,2,1,0,0,0,0,0,0,0,0,0
2600,433.33,775.8,1,1,0,18,0,1,0,0,0,4,11,5,5,4,35,4,7,2,2,2,2,1,1,6,1,2,1,0,0,0,0,0,0,0,0,0
2650,441.67,799.7,1,1,0,18,0,1,0,0,0,4,11,5,5,4,35,4,7,2,2,2,2,1,1,6,1,2,1,0,0,0,0,0,0,0,0,0
