loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_cam1,m4_seen_cam2,m4_seen_cam3,m4_history_cam1,m4_history_cam2,m4_history_cam3,m4_prev_removed_cam1,m4_prev_removed_cam2,m4_prev_removed_cam3
3250,541.67,400.0,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
3300,550.0,392.9,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
3350,558.33,399.1,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
3400,566.67,403.9,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
3450,575.0,392.4,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
3500,583.33,392.5,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
3550,591.67,404.0,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
3600,600.0,404.7,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
3650,608.33,401.2,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
3700,616.67,388.2,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
3750,625.0,419.8,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
3800,633.33,387.4,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
3850,641.67,396.2,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
3900,650.0,387.6,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
3950,658.33,393.5,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
4000,666.67,389.1,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
4050,675.0,391.4,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
4100,683.33,382.7,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
4150,691.67,394.9,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
4200,700.0,392.9,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
4250,708.33,384.8,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
4300,716.67,392.8,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
4350,725.0,396.7,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
4400,733.33,396.9,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
4450,741.67,397.0,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
4500,750.0,394.5,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
4550,758.33,385.8,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
4600,766.67,385.8,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
4650,775.0,397.3,1,1,0,3,0,1,0,0,0,5,5,8,1,1,1,0,0,0
