rule,recall_target_s5,mean_iou_s5,p_continuity_s5,p_majority_s5,ghost_box_rate_s5,recall_target_s1,mean_iou_s1,p_continuity_s1,p_majority_s1,ghost_box_rate_s1,d_recall_target,d_mean_iou,d_p_continuity,d_p_majority,d_ghost_box_rate
L1,0.9737,0.8745,0.9957,0.9957,0.139,0.9752,0.876,0.8196,0.9538,0.1838,0.0015,0.0015,-0.1761,-0.0419,0.0448
L2,0.9488,0.8702,0.4508,0.6635,0.227,0.9807,0.8969,0.4637,0.6698,0.3227,0.0319,0.0267,0.0129,0.0063,0.0957
L3S,0.9555,0.8971,0.5247,0.6959,0.2082,0.9809,0.9177,0.5281,0.6686,0.2289,0.0254,0.0206,0.0034,-0.0273,0.0207
L3T,0.9189,0.8712,0.4851,0.5672,0.1169,0.9765,0.9239,0.6926,0.7479,0.1573,0.0576,0.0527,0.2075,0.1807,0.0404
