bound_rate,c0,c_star,cameras,chef_switch_rate,chef_switches,chef_switches_interleaved,clip_id,duration_s,exclusive,first_bound_fid,frac_iou_ge_075,gap_band,gaps_s,ghost_box_rate,ghost_track_rate,gt_id,handoff_type,l2_detail_k1,l2_detail_k5,l2_n_pairs_dropped_k1,l2_n_pairs_dropped_k5,l2_n_pairs_k1,l2_n_pairs_k5,l2_p_reacquire_ci_k1,l2_p_reacquire_ci_k5,l2_p_reacquire_k1,l2_p_reacquire_k5,l3_chef_per_camera,l3_n_camera_pairs,l3_n_chef_ids_per_camera,l3_n_pairs_dropped,l3_n_pairs_usable,l3_n_simul_frames,l3_p_handoff,l3_p_handoff_ci,l3_p_simul_agree,l3_p_simul_agree_ci,level,majority_tie,mean_iou,mean_iou_matched,median_iou,n_B,n_boxes,n_chefs_created_before_target_bound,n_distinct_chef_ids,n_ghost_boxes,n_ghost_tracks,n_matched,n_other_ids,n_sampled_cells,n_target_cells,n_track_ids,n_tracks_in_window,p10_iou,p90_iou,p_chef_shared_with_other_box,p_continuity,p_continuity_ci,p_exclusive,p_exclusive_ci,p_majority,p_majority_ci,recall_ci,recall_target,rule,seq,stride,track_switch_rate,track_switches,visibility
1.0,1,1,camera_7,0.0,0,0,L1-seq_000-c7-3-002915,20.0,True,2915,1.0,,,0.0,0.0,3,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9426,0.9426,0.9507,601,601,0,1,0,0,601,0,601,601,1,1,0.9003,0.9789,0.0,1.0,"(0.9936, 1.0)",,"(None, None)",1.0,"(0.9936, 1.0)","(0.9936, 1.0)",1.0,L1,seq_000,1,0.0,0,1.0
0.9677,1,1,camera_1,0.0169,1,1,L1-seq_020-c1-4-007505,10.167,True,7505,0.871,,,0.0625,0.0,4,,,,,,,,,,,,,,,,,,,,,,L1,False,0.8637,0.8924,0.9259,60,64,0,2,4,0,60,0,62,62,2,2,0.7295,0.9714,0.0,0.8667,"(0.7583, 0.9309)",,"(None, None)",0.8667,"(0.7583, 0.9309)","(0.8898, 0.9911)",0.9677,L1,seq_020,5,0.0169,1,1.0
0.9739,1,2,camera_1,0.0135,4,4,L1-seq_020-c1-4-007505,10.167,True,7505,0.8889,,,0.1183,0.3333,4,,,,,,,,,,,,,,,,,,,,,,L1,False,0.8674,0.8906,0.922,298,338,0,4,40,2,298,0,306,306,4,6,0.7293,0.9679,0.0,0.0638,"(0.0412, 0.0974)",,"(None, None)",0.802,"(0.7531, 0.8433)","(0.9493, 0.9867)",0.9739,L1,seq_020,1,0.0135,4,1.0
1.0,1,1,camera_3,0.0,0,0,L1-seq_020-c3-4-007425,11.167,True,7425,1.0,,,0.3131,0.5,4,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9359,0.9359,0.944,68,99,0,1,31,1,68,0,68,68,1,2,0.8774,0.9806,0.0,1.0,"(0.9465, 1.0)",,"(None, None)",1.0,"(0.9465, 1.0)","(0.9465, 1.0)",1.0,L1,seq_020,5,0.0,0,1.0
1.0,1,1,camera_3,0.0,0,0,L1-seq_020-c3-4-007425,11.167,True,7425,0.997,,,0.2985,0.5,4,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9366,0.9366,0.9459,336,479,0,1,143,1,336,0,336,336,1,2,0.8791,0.98,0.0,1.0,"(0.9887, 1.0)",,"(None, None)",1.0,"(0.9887, 1.0)","(0.9887, 1.0)",1.0,L1,seq_020,1,0.0,0,1.0
1.0,1,1,camera_3,0.0,0,0,L1-seq_004-c3-5-007450,27.5,True,7450,1.0,,,0.0,0.0,5,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9355,0.9355,0.9383,166,166,0,1,0,0,166,0,166,166,1,1,0.9068,0.9542,0.0,1.0,"(0.9774, 1.0)",,"(None, None)",1.0,"(0.9774, 1.0)","(0.9774, 1.0)",1.0,L1,seq_004,5,0.0,0,1.0
1.0,1,1,camera_3,0.0,0,0,L1-seq_004-c3-5-007450,27.5,True,7450,1.0,,,0.0,0.0,5,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9364,0.9364,0.9395,826,826,0,1,0,0,826,0,826,826,1,1,0.9083,0.9547,0.0,1.0,"(0.9954, 1.0)",,"(None, None)",1.0,"(0.9954, 1.0)","(0.9954, 1.0)",1.0,L1,seq_004,1,0.0,0,1.0
0.9925,1,1,camera_1,0.0,0,0,L1-seq_000-c1-5-000385,22.167,True,385,0.9104,,,0.3109,0.6667,5,,,,,,,,,,,,,,,,,,,,,,L1,False,0.8771,0.8837,0.9099,133,193,0,1,60,2,133,0,134,134,1,3,0.7582,0.9663,0.0,1.0,"(0.9719, 1.0)",,"(None, None)",1.0,"(0.9719, 1.0)","(0.9589, 0.9987)",0.9925,L1,seq_000,5,0.0,0,1.0
1.0,1,4,camera_1,0.0015,1,1,L1-seq_000-c1-5-000385,22.167,True,385,0.9294,,,0.3313,0.7143,5,,,,,,,,,,,,,,,,,,,,,,L1,False,0.8821,0.8821,0.9073,666,996,0,2,330,5,666,0,666,666,2,7,0.7727,0.9652,0.0,0.0285,"(0.0183, 0.0441)",,"(None, None)",0.9715,"(0.9559, 0.9817)","(0.9943, 1.0)",1.0,L1,seq_000,1,0.0015,1,1.0
1.0,1,1,camera_4,0.0,0,0,L1-seq_024-c4-6-015905,13.5,True,15905,0.9634,,,0.0,0.0,6,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9349,0.9349,0.9589,82,82,0,1,0,0,82,0,82,82,1,1,0.8616,0.9783,0.0,1.0,"(0.9552, 1.0)",,"(None, None)",1.0,"(0.9552, 1.0)","(0.9552, 1.0)",1.0,L1,seq_024,5,0.0,0,1.0
1.0,1,1,camera_4,0.0,0,0,L1-seq_024-c4-6-015905,13.5,True,15905,0.9828,,,0.0,0.0,6,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9413,0.9413,0.9574,406,406,0,1,0,0,406,0,406,406,1,1,0.89,0.9791,0.0,1.0,"(0.9906, 1.0)",,"(None, None)",1.0,"(0.9906, 1.0)","(0.9906, 1.0)",1.0,L1,seq_024,1,0.0,0,1.0
1.0,1,1,camera_5,0.0,0,0,L1-seq_000-c5-6-004035,11.667,True,4035,0.9296,,,0.5069,0.8571,6,,,,,,,,,,,,,,,,,,,,,,L1,False,0.8441,0.8441,0.8372,71,144,0,1,73,6,71,0,71,71,1,7,0.7753,0.937,0.0,1.0,"(0.9487, 1.0)",,"(None, None)",1.0,"(0.9487, 1.0)","(0.9487, 1.0)",1.0,L1,seq_000,5,0.0,0,1.0
1.0,1,1,camera_5,0.0,0,0,L1-seq_000-c5-6-004035,11.667,True,4035,0.9231,,,0.597,0.875,6,,,,,,,,,,,,,,,,,,,,,,L1,False,0.8481,0.8481,0.8431,351,871,0,1,520,7,351,0,351,351,1,8,0.7626,0.9393,0.0,1.0,"(0.9892, 1.0)",,"(None, None)",1.0,"(0.9892, 1.0)","(0.9892, 1.0)",1.0,L1,seq_000,1,0.0,0,1.0
0.9826,1,1,camera_3,0.0,0,0,L1-seq_024-c3-7-015855,19.0,True,15855,0.913,,,0.3067,0.6667,7,,,,,,,,,,,,,,,,,,,,,,L1,False,0.8344,0.8492,0.8566,113,163,0,1,50,2,113,0,115,115,1,3,0.7638,0.9174,0.0,1.0,"(0.9671, 1.0)",,"(None, None)",1.0,"(0.9671, 1.0)","(0.9388, 0.9952)",0.9826,L1,seq_024,5,0.0,0,1.0
