clip_id,rule,stride,ttl,tracker,returncode,wall_s,git_sha,argv
L1-seq_000-c7-3-002915,L1,5,600,configs/tracker_rf_cbiou.yaml,0,1.79,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_000/camera_7_2023-06-02-11_14_26.avi --cameras camera_7 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 5 --start-fid 2915 --end-fid 3515 --det-cache results/det_cache/coco_nano/seq_000 --clip-id L1-seq_000-c7-3-002915 --out results/clips/runs/L1-seq_000-c7-3-002915/s5/chef_events.jsonl
L1-seq_000-c7-3-002915,L1,1,600,configs/tracker_rf_cbiou.yaml,0,1.81,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_000/camera_7_2023-06-02-11_14_26.avi --cameras camera_7 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 1 --start-fid 2915 --end-fid 3515 --det-cache results/det_cache/coco_nano/seq_000 --clip-id L1-seq_000-c7-3-002915 --out results/clips/runs/L1-seq_000-c7-3-002915/s1/chef_events.jsonl
L1-seq_020-c1-4-007505,L1,5,600,configs/tracker_rf_cbiou.yaml,0,1.93,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_020/camera_1_2023-07-26-13_21_40.avi --cameras camera_1 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 5 --start-fid 7505 --end-fid 7810 --det-cache results/det_cache/coco_nano/seq_020 --clip-id L1-seq_020-c1-4-007505 --out results/clips/runs/L1-seq_020-c1-4-007505/s5/chef_events.jsonl
L1-seq_020-c1-4-007505,L1,1,600,configs/tracker_rf_cbiou.yaml,0,1.93,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_020/camera_1_2023-07-26-13_21_40.avi --cameras camera_1 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 1 --start-fid 7505 --end-fid 7810 --det-cache results/det_cache/coco_nano/seq_020 --clip-id L1-seq_020-c1-4-007505 --out results/clips/runs/L1-seq_020-c1-4-007505/s1/chef_events.jsonl
L1-seq_020-c3-4-007425,L1,5,600,configs/tracker_rf_cbiou.yaml,0,1.99,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_020/camera_3_2023-07-26-13_21_40.avi --cameras camera_3 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 5 --start-fid 7425 --end-fid 7760 --det-cache results/det_cache/coco_nano/seq_020 --clip-id L1-seq_020-c3-4-007425 --out results/clips/runs/L1-seq_020-c3-4-007425/s5/chef_events.jsonl
L1-seq_020-c3-4-007425,L1,1,600,configs/tracker_rf_cbiou.yaml,0,2.04,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_020/camera_3_2023-07-26-13_21_40.avi --cameras camera_3 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 1 --start-fid 7425 --end-fid 7760 --det-cache results/det_cache/coco_nano/seq_020 --clip-id L1-seq_020-c3-4-007425 --out results/clips/runs/L1-seq_020-c3-4-007425/s1/chef_events.jsonl
L1-seq_004-c3-5-007450,L1,5,600,configs/tracker_rf_cbiou.yaml,0,2.53,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_004/camera_3_2023-06-08-12_29_08.avi --cameras camera_3 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 5 --start-fid 7450 --end-fid 8275 --det-cache results/det_cache/coco_nano/seq_004 --clip-id L1-seq_004-c3-5-007450 --out results/clips/runs/L1-seq_004-c3-5-007450/s5/chef_events.jsonl
L1-seq_004-c3-5-007450,L1,1,600,configs/tracker_rf_cbiou.yaml,0,2.61,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_004/camera_3_2023-06-08-12_29_08.avi --cameras camera_3 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 1 --start-fid 7450 --end-fid 8275 --det-cache results/det_cache/coco_nano/seq_004 --clip-id L1-seq_004-c3-5-007450 --out results/clips/runs/L1-seq_004-c3-5-007450/s1/chef_events.jsonl
L1-seq_000-c1-5-000385,L1,5,600,configs/tracker_rf_cbiou.yaml,0,1.9,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_000/camera_1_2023-06-02-11_14_25.avi --cameras camera_1 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 5 --start-fid 385 --end-fid 1050 --det-cache results/det_cache/coco_nano/seq_000 --clip-id L1-seq_000-c1-5-000385 --out results/clips/runs/L1-seq_000-c1-5-000385/s5/chef_events.jsonl
L1-seq_000-c1-5-000385,L1,1,600,configs/tracker_rf_cbiou.yaml,0,1.68,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_000/camera_1_2023-06-02-11_14_25.avi --cameras camera_1 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 1 --start-fid 385 --end-fid 1050 --det-cache results/det_cache/coco_nano/seq_000 --clip-id L1-seq_000-c1-5-000385 --out results/clips/runs/L1-seq_000-c1-5-000385/s1/chef_events.jsonl
L1-seq_024-c4-6-015905,L1,5,600,configs/tracker_rf_cbiou.yaml,0,2.59,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_024/camera_4_2023-12-01-11_05_52.avi --cameras camera_4 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 5 --start-fid 15905 --end-fid 16310 --det-cache results/det_cache/coco_nano/seq_024 --clip-id L1-seq_024-c4-6-015905 --out results/clips/runs/L1-seq_024-c4-6-015905/s5/chef_events.jsonl
L1-seq_024-c4-6-015905,L1,1,600,configs/tracker_rf_cbiou.yaml,0,2.64,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_024/camera_4_2023-12-01-11_05_52.avi --cameras camera_4 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 1 --start-fid 15905 --end-fid 16310 --det-cache results/det_cache/coco_nano/seq_024 --clip-id L1-seq_024-c4-6-015905 --out results/clips/runs/L1-seq_024-c4-6-015905/s1/chef_events.jsonl
L1-seq_000-c5-6-004035,L1,5,600,configs/tracker_rf_cbiou.yaml,0,1.95,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_000/camera_5_2023-06-02-11_14_26.avi --cameras camera_5 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 5 --start-fid 4035 --end-fid 4385 --det-cache results/det_cache/coco_nano/seq_000 --clip-id L1-seq_000-c5-6-004035 --out results/clips/runs/L1-seq_000-c5-6-004035/s5/chef_events.jsonl
L1-seq_000-c5-6-004035,L1,1,600,configs/tracker_rf_cbiou.yaml,0,1.61,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_000/camera_5_2023-06-02-11_14_26.avi --cameras camera_5 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 1 --start-fid 4035 --end-fid 4385 --det-cache results/det_cache/coco_nano/seq_000 --clip-id L1-seq_000-c5-6-004035 --out results/clips/runs/L1-seq_000-c5-6-004035/s1/chef_events.jsonl
L1-seq_024-c3-7-015855,L1,5,600,configs/tracker_rf_cbiou.yaml,0,3.04,6e14742e1f6cf990387af196ac6ac9e376b829d9,D:\yizhen\smart_kitchen\.venv\Scripts\python.exe scripts/m5_track_video.py --videos D:/yizhen/CHIRLA/CHIRLA_data/CHIRLA/videos/seq_024/camera_3_2023-12-01-11_05_52.avi --cameras camera_3 --topology configs/fix_grid/base.yaml --tracker configs/tracker_rf_cbiou.yaml --variant nano --thr 0.10 --person-cls 1 --embedder none --fps 30.0 --max-frames -1 --ttl 600 --stride 5 --start-fid 15855 --end-fid 16425 --det-cache results/det_cache/coco_nano/seq_024 --clip-id L1-seq_024-c3-7-015855 --out results/clips/runs/L1-seq_024-c3-7-015855/s5/chef_events.jsonl
