loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_cam1,m4_seen_cam2,m4_seen_cam3,m4_seen_cam4,m4_seen_cam5,m4_seen_cam6,m4_seen_cam7,m4_seen_cam8,m4_seen_cam9,m4_history_cam1,m4_history_cam2,m4_history_cam3,m4_history_cam4,m4_history_cam5,m4_history_cam6,m4_history_cam7,m4_history_cam8,m4_history_cam9,m4_prev_removed_cam1,m4_prev_removed_cam2,m4_prev_removed_cam3,m4_prev_removed_cam4,m4_prev_removed_cam5,m4_prev_removed_cam6,m4_prev_removed_cam7,m4_prev_removed_cam8,m4_prev_removed_cam9
1700,283.33,1040.5,1,1,0,9,0,1,0,0,0,5,5,6,10,2,6,1,19,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1750,291.67,1042.2,1,1,0,10,0,1,1,0,0,5,5,6,10,2,7,1,19,2,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0
1800,300.0,1045.7,1,1,0,9,0,1,0,0,0,5,5,6,10,2,7,1,19,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1850,308.33,1034.9,1,1,0,9,0,1,0,0,0,5,5,6,10,2,7,1,19,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1900,316.67,1043.1,1,1,0,9,0,1,0,0,0,5,5,6,10,2,7,1,19,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
1950,325.0,1035.1,1,1,0,10,0,1,0,0,0,5,5,6,11,2,7,1,19,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2000,333.33,985.3,1,1,0,10,0,1,1,0,0,5,5,6,11,2,7,1,19,3,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0
2050,341.67,691.9,1,1,0,9,0,1,0,0,0,5,5,6,11,2,8,1,19,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2100,350.0,760.4,1,1,0,9,0,1,0,0,0,5,5,6,11,2,8,1,19,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2150,358.33,732.0,1,1,0,10,0,1,0,0,0,5,5,6,11,2,9,1,19,4,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0
