loop_i,video_fid,t_sec,camera_id,kind,track_id
0,15855,528.5,camera_3,new_track,0
10,15865,528.833,camera_3,new_track,1
30,15885,529.5,camera_3,lost_track,1
45,15900,530.0,camera_3,new_track,2
56,15911,530.367,camera_3,lost_track,2
60,15915,530.5,camera_3,reacquired,2
60,15915,530.5,camera_3,removed,1
65,15920,530.667,camera_3,lost_track,2
66,15921,530.7,camera_3,reacquired,2
83,15938,531.267,camera_3,lost_track,2
93,15948,531.6,camera_3,reacquired,2
101,15956,531.867,camera_3,lost_track,2
117,15972,532.4,camera_3,reacquired,2
123,15978,532.6,camera_3,lost_track,2
153,16008,533.6,camera_3,removed,2
182,16037,534.567,camera_3,new_track,3
187,16042,534.733,camera_3,new_track,4
202,16057,535.233,camera_3,lost_track,4
222,16077,535.9,camera_3,lost_track,3
232,16087,536.233,camera_3,removed,4
242,16097,536.567,camera_3,reacquired,3
256,16111,537.033,camera_3,lost_track,3
286,16141,538.033,camera_3,removed,3
353,16208,540.267,camera_3,new_track,5
425,16280,542.667,camera_3,new_track,6
447,16302,543.4,camera_3,new_track,7
457,16312,543.733,camera_3,lost_track,6
487,16342,544.733,camera_3,removed,6
507,16362,545.4,camera_3,new_track,8
514,16369,545.633,camera_3,lost_track,8
515,16370,545.667,camera_3,reacquired,8
516,16371,545.7,camera_3,lost_track,5
518,16373,545.767,camera_3,new_track,9
519,16374,545.8,camera_3,reacquired,5
519,16374,545.8,camera_3,lost_track,8
525,16380,546.0,camera_3,lost_track,0
528,16383,546.1,camera_3,reacquired,0
541,16396,546.533,camera_3,lost_track,7
541,16396,546.533,camera_3,lost_track,9
543,16398,546.6,camera_3,reacquired,7
545,16400,546.667,camera_3,lost_track,7
548,16403,546.767,camera_3,lost_track,5
549,16404,546.8,camera_3,removed,8
551,16406,546.867,camera_3,reacquired,5
